,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,dia_da_semana,mes,tipo_faixa,tipo_perfil_de_terreno,iluminacao
263,59.795,mairipora,2023-07-17,1,SP,61.30196131844184,65.76737967914438,63.438655956112854,59.13636363636363,18355,187,25520,1265,0,0,Final_de_Semana,7,Acostamento,Perfil_Montanhoso,0
264,528.35,brumadinho,2023-06-24,0,MG,51.61886574074074,64.48340248962656,65.40442551423229,50.21052631578947,4320,241,4813,608,0,0,Final_de_Semana,6,Terceira_faixa,Perfil_Montanhoso,0
265,73.06,sao_paulo,2023-04-19,0,SP,62.11195617487501,70.80372670807454,64.71391375101709,62.96116504854369,9401,805,18435,412,0,1,Final_de_Semana,4,Terceira_faixa,Perfil_Ondulado,0
266,78.2,sao_paulo,2023-04-26,1,SP,62.63540207340992,69.8307783018868,66.01675977653632,61.55705059203444,14276,848,23628,1858,0,1,Final_de_Semana,4,Terceira_faixa,Perfil_Montanhoso,0
267,643.224,santo_antonio_do_amparo,2023-05-07,1,MG,63.235335358728676,61.095238095238095,63.26822429906542,63.309330628803245,4279,42,2675,493,0,0,Final_de_Semana,5,Acostamento,Perfil_Plano,0
268,920.8,camanducaia,2023-08-14,1,MG,64.14818617385353,65.31818181818181,63.61283266496537,64.88931297709924,1461,55,2743,131,0,0,Final_de_Semana,8,Acostamento,Perfil_Ondulado,0
269,653.74,santo_antonio_do_amparo,2023-03-25,1,MG,63.42846924177396,64.26923076923077,63.17024349979364,64.13475177304964,3495,65,2423,282,0,0,Final_de_Semana,3,Acostamento,Perfil_Ondulado,0
270,70.2,mairipora,2023-09-09,0,SP,58.282786885245905,65.3015873015873,62.561986084756484,56.5,1220,126,1581,110,0,0,Final_de_Semana,9,Terceira_faixa,Perfil_Montanhoso,0
271,525.35,brumadinho,2023-09-29,1,MG,57.13313174239948,62.742222222222225,62.478275235420455,58.62133072407045,6118,225,6053,511,0,0,Final_de_Semana,9,Acostamento,Perfil_Ondulado,0
272,920.8,camanducaia,2023-10-10,1,MG,60.94115378682709,66.88586956521739,64.37440127727514,61.981751824817515,6483,184,5637,685,0,0,Final_de_Semana,10,Acostamento,Perfil_Ondulado,0
273,59.795,mairipora,2023-07-26,1,SP,58.58539944903581,65.5,64.12244897959184,57.69178082191781,726,2,392,73,0,0,Final_de_Semana,7,Acostamento,Perfil_Montanhoso,0
274,923.38,camanducaia,2023-10-26,1,MG,60.57963709677419,57.62043795620438,62.53740197064146,61.228476821192054,7936,137,4973,755,0,1,Final_de_Semana,10,Acostamento,Perfil_Plano,0
275,653.74,santo_antonio_do_amparo,2023-05-02,1,MG,63.427596793450455,63.0,63.78943868050013,64.47435897435898,5863,80,3759,390,0,0,Final_de_Semana,5,Acostamento,Perfil_Ondulado,0
276,70.2,mairipora,2023-02-20,0,SP,58.213615023474176,63.973214285714285,64.50517538815411,60.383720930232556,2769,168,1739,301,0,0,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
277,76.4,sao_paulo,2023-02-11,0,SP,51.793320039880356,50.76890034364261,60.788075033497094,52.172,5015,582,13434,250,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
278,70.2,mairipora,2023-10-24,0,SP,53.90236898779612,64.55940594059406,61.14513422818792,52.467213114754095,2786,101,596,122,0,0,Final_de_Semana,10,Terceira_faixa,Perfil_Montanhoso,0
279,653.74,santo_antonio_do_amparo,2023-05-13,1,MG,63.388917659243916,60.23762376237624,63.25495557074505,63.283489096573206,3862,101,2926,321,0,0,Final_de_Semana,5,Acostamento,Perfil_Ondulado,0
280,920.8,camanducaia,2023-01-06,1,MG,60.06226447413498,60.08196721311475,61.584411003997175,60.88288288288288,5838,122,8506,666,0,1,Final_de_Semana,1,Acostamento,Perfil_Ondulado,0
281,528.35,brumadinho,2023-03-29,0,MG,51.08719226260258,64.05681818181819,64.82095435684647,49.329875518672196,3412,132,2410,482,0,1,Final_de_Semana,3,Terceira_faixa,Perfil_Montanhoso,0
282,525.35,brumadinho,2023-07-25,1,MG,57.13732901367891,62.07534246575342,62.56228153797267,59.01123595505618,2778,73,3147,356,0,1,Final_de_Semana,7,Acostamento,Perfil_Ondulado,0
283,59.795,mairipora,2023-12-22,1,SP,61.62044054111481,62.17701863354037,62.50921969867326,58.949367088607595,14119,161,17788,948,0,1,Final_de_Semana,12,Acostamento,Perfil_Montanhoso,0
284,76.4,sao_paulo,2023-08-18,0,SP,50.24961459403905,48.11516853932584,60.45157919182536,52.01376146788991,3892,534,4306,109,0,0,Final_de_Semana,8,Terceira_faixa,Perfil_Montanhoso,0
285,73.06,sao_paulo,2023-06-23,0,SP,62.05472966575135,70.59640221402213,64.26868334155691,62.079664570230605,10561,1084,26347,477,0,0,Final_de_Semana,6,Terceira_faixa,Perfil_Ondulado,0
286,70.2,mairipora,2023-02-09,0,SP,57.18195827406354,63.73410404624278,64.11804222648752,59.11176470588235,4218,173,1042,425,0,0,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
287,525.35,brumadinho,2023-03-01,1,MG,57.4507992007992,62.32819383259912,62.95923805763916,60.6510989010989,8008,227,5066,728,0,0,Final_de_Semana,3,Acostamento,Perfil_Ondulado,0
288,525.35,brumadinho,2023-11-09,1,MG,53.099027207782335,57.859375,58.09307787391842,56.06737588652482,6579,192,4045,564,0,0,Final_de_Semana,11,Acostamento,Perfil_Ondulado,0
289,70.2,mairipora,2023-01-26,0,SP,64.54935524363802,71.0,66.52608849976338,63.46531791907515,8763,518,16904,865,0,0,Final_de_Semana,1,Terceira_faixa,Perfil_Montanhoso,0
290,78.2,sao_paulo,2023-02-05,1,SP,64.63576801747149,67.87308533916848,64.87817800961103,61.875,4121,457,24347,480,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
291,643.224,santo_antonio_do_amparo,2023-09-21,1,MG,62.73664266767715,68.68181818181819,63.63003855590606,62.644578313253014,5278,55,2853,415,0,0,Final_de_Semana,9,Acostamento,Perfil_Plano,0
292,78.2,sao_paulo,2023-09-04,1,SP,63.101582440020415,69.524682651622,65.97859294888737,62.09647779479326,9795,709,18919,1306,0,0,Final_de_Semana,9,Terceira_faixa,Perfil_Montanhoso,0
293,78.2,sao_paulo,2023-05-01,1,SP,64.56632290184922,68.19367991845056,65.28451523730968,62.67338217338217,8436,981,44857,819,0,1,Final_de_Semana,5,Terceira_faixa,Perfil_Montanhoso,0
294,70.2,mairipora,2023-03-24,0,SP,57.03476738369184,60.1578947368421,62.726430976430976,59.207317073170735,1999,95,594,205,0,0,Final_de_Semana,3,Terceira_faixa,Perfil_Montanhoso,0
295,73.06,sao_paulo,2023-10-04,0,SP,62.54607422368089,70.57753164556962,65.13755925982566,63.84319526627219,3961,316,6539,169,0,1,Final_de_Semana,10,Terceira_faixa,Perfil_Ondulado,0
296,643.224,santo_antonio_do_amparo,2023-06-15,1,MG,63.14869147413617,60.736363636363635,62.96685472496474,63.595238095238095,9782,110,4254,861,0,1,Final_de_Semana,6,Acostamento,Perfil_Plano,0
297,73.06,sao_paulo,2023-02-06,0,SP,63.1531007751938,70.64527027027027,65.43846930347802,64.12542955326461,5160,444,10897,291,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Ondulado,0
298,75.65,sao_paulo,2023-04-08,1,SP,58.19795037756203,64.61940298507463,61.63236984726556,57.54819277108434,4635,335,24356,249,0,1,Final_de_Semana,4,Terceira_faixa,Perfil_Plano,0
299,653.74,santo_antonio_do_amparo,2023-03-19,1,MG,63.30899100899101,60.29,63.77647867950481,64.66083916083916,5005,50,3635,429,0,1,Final_de_Semana,3,Acostamento,Perfil_Ondulado,0
300,75.65,sao_paulo,2023-04-04,1,SP,56.9727103960396,69.36792452830188,64.12563589358686,58.63583815028902,8080,371,11991,346,0,0,Final_de_Semana,4,Terceira_faixa,Perfil_Plano,0
301,525.35,brumadinho,2023-04-28,1,MG,57.38189113747383,61.01948051948052,62.674646022206375,58.801507537688444,8598,231,9817,995,0,1,Final_de_Semana,4,Acostamento,Perfil_Ondulado,0
