,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,mes,iluminacao,dia_da_semana_Final_de_Semana,tipo_faixa_Terceira_faixa,tipo_perfil_de_terreno_Perfil_Ondulado,tipo_perfil_de_terreno_Perfil_Plano
661,78.2,sao_paulo,2023-01-06,1,SP,0.6357581519290115,0.6345514793925594,0.9041563290744808,0.49536831419465327,-0.005477649785648087,-0.3659255924765165,0.19926077004425807,0.14759634612876746,0,1,1,0,0,1,0,0
662,528.35,brumadinho,2023-10-31,0,MG,-1.9423132373864926,0.8552434563534932,0.7352378627982507,-1.7979709907062436,-1.2401966136375593,-0.6068159236112102,-1.0795283907803326,-0.4960827347231932,0,0,10,0,0,1,0,0
663,653.74,santo_antonio_do_amparo,2023-10-30,1,MG,0.9268258238816686,0.903483521547252,0.8387574461185174,0.997686916150305,-0.5758666551206271,-0.6074617421933408,-0.96310741276775,-0.6291400712243935,0,1,10,0,0,0,1,0
664,70.2,mairipora,2023-08-02,0,SP,-0.8990825000613127,-0.6261788724958849,-1.033292443149944,-1.1995316649677235,-1.1123067021274744,-0.5906704590579466,-1.1572758252027655,-0.6678063057632039,0,0,8,0,0,1,0,0
665,76.4,sao_paulo,2023-09-12,0,SP,-1.8344297613690106,-1.937011253650093,-0.6196783062099229,-1.431801591330907,-0.6765508945458394,-0.2180331371686215,-0.9299586611190505,-0.8509022987263941,0,0,9,0,0,1,0,0
666,59.795,mairipora,2023-11-07,1,SP,0.5087539015280581,0.308472790936052,0.5184241400454992,0.4214445586081349,0.8499895946609021,-0.5732333573404218,-0.2510498079081242,-0.09691072521959215,0,0,11,0,0,0,0,0
667,653.74,santo_antonio_do_amparo,2023-02-10,1,MG,0.8234311818501406,0.15235994290970492,0.23279725899470152,1.1227266780280487,-0.2968341209168053,-0.5867955475651633,-0.8526115739387515,-0.32208467929854656,0,1,2,0,0,0,1,0
668,73.06,sao_paulo,2023-12-29,0,SP,0.6956143299197757,0.7878706612776619,0.6011376061173532,0.8418071164813719,-0.4886689881819327,-0.3123226501596812,0.11494764085082662,-0.5302000004927317,0,0,12,0,0,1,1,0
669,483.7,betim,2023-05-19,1,MG,-0.6134960317449971,0.020398205775710054,-1.2856931850202105,-0.5483365832499661,2.322816321033408,4.008849482875802,3.3297359951872685,5.3914200949068425,0,0,5,0,0,1,0,0
670,923.38,camanducaia,2023-06-03,1,MG,0.20630152093670334,-1.0527130234086766,-0.49549321271316343,0.19315795022630225,0.4016773230400951,-0.49121439740984246,-0.46267336010018434,0.20104672916771119,0,1,6,0,0,0,0,1
